Pclass,Age,Fare,Company,Survived
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,child,'\'(15.65-inf)\'',not-alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,newborn,'\'(15.65-inf)\'',not-alone,TRUE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,female,'\'(15.65-inf)\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
TWO,child,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,child,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,female,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
THREE,child,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,child,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,TRUE
TWO,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
ONE,child,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
ONE,child,'\'(15.65-inf)\'',not-alone,TRUE
TWO,child,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
THREE,child,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,newborn,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
THREE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,child,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
TWO,child,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,child,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
TWO,child,'\'(15.65-inf)\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,TRUE
TWO,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
ONE,adult-male,'\'(15.65-inf)\'',alone,TRUE
THREE,female,'\'(-inf-15.65]\'',alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
TWO,female,'\'(-inf-15.65]\'',alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,TRUE
TWO,female,'\'(15.65-inf)\'',not-alone,TRUE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,adult-male,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
ONE,female,'\'(15.65-inf)\'',not-alone,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',alone,FALSE
THREE,female,'\'(-inf-15.65]\'',not-alone,FALSE
