Pclass,Type,Fare,Embarked,SibSp,Parch,Survived
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
ONE,child,'\'(15.65-inf)\'',S,less,2,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,1,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,newborn,'\'(15.65-inf)\'',S,less,2,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,2,TRUE
TWO,female,'\'(15.65-inf)\'',S,less,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,1,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,2,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,more,2,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,1,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,1,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,1,TRUE
ONE,female,'\'(15.65-inf)\'',S,more,2,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,child,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,child,'\'(-inf-15.65]\'',C,less,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,1,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,4,FALSE
TWO,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',C,less,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,1,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,2,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,2,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,2,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',C,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,2,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,2,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,more,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',Q,less,0,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,1,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,2,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,2,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,1,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,0,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,child,'\'(15.65-inf)\'',S,less,2,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,2,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,3,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,4,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,child,'\'(15.65-inf)\'',S,less,2,TRUE
TWO,child,'\'(-inf-15.65]\'',S,less,1,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,child,'\'(-inf-15.65]\'',C,less,1,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,2,FALSE
THREE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,newborn,'\'(-inf-15.65]\'',C,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,2,TRUE
TWO,female,'\'(-inf-15.65]\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,2,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,more,1,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,child,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,2,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,2,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
TWO,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,1,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,1,FALSE
THREE,female,'\'(-inf-15.65]\'',C,less,2,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,child,'\'(-inf-15.65]\'',S,less,2,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,2,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,2,TRUE
THREE,child,'\'(-inf-15.65]\'',S,more,2,FALSE
THREE,child,'\'(-inf-15.65]\'',S,more,2,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,1,FALSE
TWO,child,'\'(15.65-inf)\'',S,less,1,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,2,TRUE
TWO,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,1,TRUE
THREE,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',S,less,4,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
TWO,female,'\'(-inf-15.65]\'',S,less,0,TRUE
ONE,female,'\'(15.65-inf)\'',S,less,0,TRUE
THREE,female,'\'(-inf-15.65]\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,TRUE
TWO,female,'\'(15.65-inf)\'',S,less,1,TRUE
ONE,female,'\'(15.65-inf)\'',C,less,1,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',S,less,2,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,less,1,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
ONE,female,'\'(15.65-inf)\'',C,less,0,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,less,0,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,less,2,FALSE
