Pclass,Type,Fare,SibSp,Survived
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(15.65-inf)\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',more,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(15.65-inf)\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',more,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,newborn,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',more,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',more,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(15.65-inf)\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,adult-male,'\'(15.65-inf)\'',less,FALSE
TWO,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
ONE,female,'\'(15.65-inf)\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',more,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
TWO,child,'\'(15.65-inf)\'',less,TRUE
THREE,child,'\'(15.65-inf)\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',more,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(15.65-inf)\'',less,FALSE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,child,'\'(15.65-inf)\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,newborn,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',more,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',more,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(15.65-inf)\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,female,'\'(15.65-inf)\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,child,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',more,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,adult-male,'\'(15.65-inf)\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,child,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',more,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,female,'\'(15.65-inf)\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,child,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(15.65-inf)\'',less,TRUE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,TRUE
TWO,female,'\'(15.65-inf)\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
ONE,child,'\'(15.65-inf)\'',less,TRUE
THREE,female,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
ONE,adult-male,'\'(15.65-inf)\'',less,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',less,FALSE
TWO,female,'\'(-inf-15.65]\'',less,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',less,TRUE
ONE,child,'\'(15.65-inf)\'',less,TRUE
