Pclass,Type,SibSp,Parch,Fare,Deck,Embarked,Survived
THREE,adult-male,less,0,'\'(-inf-15.65]\'',C,S,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',C,S,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',E,Q,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,2,'\'(-inf-15.65]\'',,S,TRUE
TWO,child,less,0,'\'(-inf-15.65]\'',G,C,TRUE
THREE,child,less,1,'\'(-inf-15.65]\'',C,S,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,5,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,child,less,1,'\'(-inf-15.65]\'',,Q,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,female,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,C,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',D,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,child,less,0,'\'(-inf-15.65]\'',A,Q,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,child,more,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,more,5,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',C,C,FALSE
ONE,adult-male,more,2,'\'(15.65-inf)\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
ONE,adult-male,more,0,'\'(15.65-inf)\'',B,C,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
THREE,female,more,0,'\'(-inf-15.65]\'',,Q,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,C,FALSE
ONE,adult-male,more,0,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,C,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,0,'\'(-inf-15.65]\'',,C,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
TWO,child,less,2,'\'(-inf-15.65]\'',,C,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,Q,FALSE
THREE,female,more,0,'\'(-inf-15.65]\'',,Q,TRUE
THREE,adult-male,less,0,'\'(15.65-inf)\'',,C,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',D,S,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
TWO,female,more,0,'\'(15.65-inf)\'',B,S,TRUE
ONE,adult-male,less,1,'\'(15.65-inf)\'',C,C,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,TRUE
TWO,female,more,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,C,FALSE
TWO,child,less,2,'\'(-inf-15.65]\'',,S,TRUE
THREE,child,less,2,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',B,C,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',C,,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,C,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',F,C,TRUE
TWO,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,more,2,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,more,2,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',F,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,newborn,less,2,'\'(-inf-15.65]\'',,S,TRUE
THREE,female,more,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
ONE,adult-male,more,0,'\'(15.65-inf)\'',,S,FALSE
TWO,female,more,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,3,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',C,S,FALSE
ONE,female,more,2,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',E,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,2,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',A,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',D,C,FALSE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,C,TRUE
TWO,female,less,1,'\'(-inf-15.65]\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',D,S,FALSE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',C,Q,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,child,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,Q,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',B,S,FALSE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,C,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',E,C,FALSE
TWO,female,less,0,'\'(-inf-15.65]\'',D,S,TRUE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,S,FALSE
THREE,child,less,0,'\'(-inf-15.65]\'',,C,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,Q,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',F,S,TRUE
THREE,female,less,1,'\'(-inf-15.65]\'',,C,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,female,less,0,'\'(15.65-inf)\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',D,C,FALSE
ONE,female,less,2,'\'(15.65-inf)\'',C,S,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',B,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,C,FALSE
THREE,female,less,2,'\'(-inf-15.65]\'',,C,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,Q,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,1,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,child,less,2,'\'(-inf-15.65]\'',F,S,FALSE
TWO,adult-male,less,2,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',C,S,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,2,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,C,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,1,'\'(15.65-inf)\'',,S,FALSE
TWO,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',E,S,TRUE
ONE,female,less,1,'\'(15.65-inf)\'',,S,TRUE
THREE,female,less,4,'\'(-inf-15.65]\'',,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',B,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,Q,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',A,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,C,FALSE
THREE,adult-male,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',C,S,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,C,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,2,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',F,S,FALSE
TWO,child,less,1,'\'(15.65-inf)\'',,S,TRUE
THREE,child,less,2,'\'(15.65-inf)\'',A,S,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,1,'\'(-inf-15.65]\'',,Q,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',F,S,TRUE
TWO,child,less,1,'\'(-inf-15.65]\'',B,S,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',B,C,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,Q,FALSE
THREE,adult-male,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
TWO,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,2,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',G,S,TRUE
THREE,child,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,C,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',A,Q,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,C,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',D,Q,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',D,S,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',C,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,1,'\'(-inf-15.65]\'',C,S,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
TWO,child,less,2,'\'(-inf-15.65]\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',C,C,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,Q,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,female,less,2,'\'(-inf-15.65]\'',D,S,TRUE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,S,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',G,S,FALSE
THREE,female,less,1,'\'(-inf-15.65]\'',C,S,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,2,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,2,'\'(-inf-15.65]\'',,C,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',B,C,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,C,TRUE
TWO,female,less,1,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,Q,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',E,S,TRUE
ONE,adult-male,less,1,'\'(15.65-inf)\'',B,S,FALSE
ONE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,1,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',C,S,TRUE
ONE,female,less,1,'\'(15.65-inf)\'',C,S,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
ONE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
TWO,female,less,1,'\'(-inf-15.65]\'',C,S,TRUE
ONE,adult-male,less,1,'\'(15.65-inf)\'',,C,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',D,Q,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,S,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,Q,FALSE
THREE,female,less,1,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,Q,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',A,S,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,S,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,S,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,S,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,Q,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',B,S,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',D,C,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,C,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,S,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,S,FALSE
ONE,adult-male,more,0,'\'(15.65-inf)\'',,C,FALSE
